image_path,leaf_label,N,P,K,temperature,humidity,ph,rainfall,soil_moisture,soil_type,sunlight_exposure,wind_speed,co2_concentration,organic_matter,irrigation_frequency,crop_density,pest_pressure,fertilizer_usage,growth_stage,urban_area_proximity,water_source_type,frost_risk,water_usage_efficiency,NDVI_Mean,NDVI_Std,NDRE_Mean,NDRE_Std,crop_health
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Brinjal\Unhealthy_brinjal\Little_leaf\PHYP62_15933.jpg,Little_leaf,36,11,13,17.34083741,93.04897191,7.1917274,112.7194284,15.44449160051871,3,11.795494183700711,13.783475710201564,387.8222179503325,2.5771201356813056,6,15.72625617903873,96.01580620642608,75.79029387760536,3,3.4513361573214327,3,72.4814574786914,4.9623749661681344,0.2682147107187177,0.2390683046637486,0.1020274918850525,0.2362159499391597,High_Risk
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Cumin\Unhealthy_Cumin\Wilt\IMG_8811.jpg,Wilt,114,8,52,29.34081108,94.5513539,6.419083092,28.22908103,18.841556958957675,1,6.341708908050131,13.334204522159313,379.55644024343394,6.743247949553963,3,5.832684267954753,65.88031730833627,143.1594121272793,1,6.860807559737975,3,60.00700642106555,2.4120968768326327,0.2358949181794206,0.2370842163367019,0.087568812691916,0.2143335830488853,High_Risk
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Castor\Unhealthy_castor\Cercospera Leaf Spot\Cercospora alternaria_.jpg,Cercospera Leaf Spot,25,59,19,29.06631494,83.6869203,6.626629798,43.95183726,14.239136974517791,1,8.79932911515087,0.3331277200397187,418.6148778863097,6.95444629128521,1,6.013455775344818,58.65137527891166,155.6591529376839,1,16.3777903965291,2,72.42722090829294,2.096714133819357,0.1547054064158144,0.276694549880376,0.055888561344636,0.2284224039063615,High_Risk
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Castor\Unhealthy_castor\Alternia Leaf Blight\IMG_4968.jpg,Alternaria_Blight,40,9,41,24.37766782,85.4017118,5.78270695,106.128338,10.429540377920024,3,10.01602388609432,15.993900320416383,389.2446168753697,8.2230605000939,3,13.444873018602962,62.96852601184318,91.48132388761478,3,43.5199352254557,2,37.741890848545,2.827791752711013,0.2406021588420057,0.2328317529636904,0.1193663330965081,0.2056884453002807,High_Risk
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Cumin\Unhealthy_Cumin\Wilt\IMG_8865.jpg,Wilt,14,131,198,33.4641162,83.86742974,5.562790949,67.92204319,22.70373097856308,2,11.277909607976037,2.40077637969018,377.1429785845643,9.446816909302862,1,12.13034679726718,49.4791239109173,189.4695040897273,3,0.6069531234466463,3,83.68687215004906,4.266625817700119,0.2417466386153199,0.2499797695316607,0.0907289917289768,0.2320499714768009,High_Risk
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Brinjal\Unhealthy_brinjal\Cercospora\21371018861_42fd0d4585_o.jpg,Cercospora,6,62,22,20.53052663,18.09224048,5.824090984,120.4509288,15.118545496371134,1,10.690606846019747,12.314004532827248,406.71985990295485,8.548523896934508,1,15.164022803636726,11.375687885418596,89.51464708720701,1,45.2743383074135,1,80.07291499408315,3.2279843128492924,0.2557328745175416,0.2640159299519048,0.1297730635455898,0.2362678608317673,High_Risk
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Papaya\Unhealthy_papaya\Mosaic\mosaic4.jpg,Mosaic,30,60,21,28.87667593,62.4901206,5.457871273,182.2688175,15.639245965487603,1,9.900521595873464,7.846074262170555,369.9352933596119,6.501549941814209,3,16.21358945528566,18.80517726955916,141.99022831768212,3,4.307914033775656,3,36.17365135573761,4.159844989748362,0.2354893529628829,0.1572933472543721,0.1402368932221714,0.147387833343762,High_Risk
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Papaya\Unhealthy_papaya\Leaf_curl_viral_diseases\leafcurl3.jpg,Leaf_Curl,32,60,83,19.69141713,19.44225438,8.829273328,91.76071648,19.77662735497598,2,10.750109900367274,4.695382677631397,389.42411117733184,5.054603037725947,5,15.443946159831247,32.47549497326977,124.81861532958484,1,30.408181559796088,2,53.25354332039801,1.1421687978299002,0.1885150979295672,0.1807468629298206,0.1272944738931642,0.1728083247877492,High_Risk
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Guava\Unhealthy_Guava\Fungal infection\no113.jpg,Fungal infection,10,9,28,29.01256899,94.01014388,6.282955073,150.0500312,24.142284407863755,1,6.485303235512436,3.811598748855274,352.6204626403467,5.289825012425604,4,5.004340767425479,34.25699110653097,168.81338534918729,2,5.569805288773994,2,82.35062333040922,1.3231094101864604,0.2790406971763748,0.2540273270785183,0.1793634519074465,0.2272297890977019,High_Risk
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Guava\Unhealthy_Guava\Rust_fungal\rust15.png,Rust_fungal,34,60,16,31.35730791,64.24992106,7.322555223,63.85668948,22.9996416547392,2,7.824448877768872,7.424200339667539,389.1864655376613,7.471551355793187,4,8.378453168178808,95.00709364141632,191.11147527632264,1,10.150818325071551,2,46.31510329987676,3.099273055923887,0.2706677808193118,0.2431986158843512,0.1185061790352746,0.2315650932846777,High_Risk
