N,P,K,temperature,humidity,ph,rainfall,label,soil_moisture,soil_type,sunlight_exposure,wind_speed,co2_concentration,organic_matter,irrigation_frequency,crop_density,pest_pressure,fertilizer_usage,growth_stage,urban_area_proximity,water_source_type,frost_risk,water_usage_efficiency,NDVI_Mean,NDVI_Std,NDRE_Mean,NDRE_Std
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,rice,29.44606392482905,2,8.67735526697563,10.109875244575116,435.611225664072,3.121394502259622,4,11.743910096203432,57.60730813596583,188.19495775411988,1,2.7196142681382094,3,95.6499853668432,1.1932932982959272,0.1885767502785817,0.1819479701930119,0.1267917885907425,0.1730957228839017
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,12.851182636936995,3,5.754287955222303,12.048049798316915,401.45185974634256,2.142020928535281,4,16.797101236780506,74.73687900741903,70.96362942364794,1,4.714427327225068,2,77.26569365523096,1.7526716815799783,0.1888089508254469,0.1821024141150078,0.1270084255358297,0.1730777327506774
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,29.363912891054824,2,9.875230096038331,9.05134891346406,357.4179627074981,1.4749737247687815,1,12.654394579097698,1.034478009144435,191.97607728111197,1,30.43173647520732,2,18.192167864978813,3.035541019903109,0.1885518323586149,0.1817725222351055,0.1267947792102411,0.1729794406317434
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,26.20773239299878,3,8.023684684293785,7.963606057288741,363.6943055002588,8.393907171864402,1,10.864360184826303,24.09188793478396,55.76138848397649,3,10.861071276483274,3,82.81872017326596,1.2733406458545562,0.1882903351410832,0.1811742683725615,0.1268019275129848,0.1728570954582213
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,28.236236135835615,2,8.12051188272924,19.264133422858432,410.35645777701023,5.202285434682235,3,13.852910054226465,38.811481435085696,185.25970154082896,2,47.19077674711596,3,25.466498927055326,2.578671084995216,0.1885150979295672,0.1807468629298206,0.1272944738931642,0.1728083247877492
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,23.61311519614218,3,10.873767569219408,2.728812124554161,428.7284296936261,5.958483178119839,5,13.478474458070083,82.07341331570409,135.92906584189868,3,42.15873477813557,3,43.42633430045652,1.7536156668614868,0.2973245641592897,0.1379085582488776,0.209730293735097,0.1219559162239451
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,15.333693105308976,2,8.726839860577611,4.715023586814744,398.3170075705707,7.389915833434773,1,13.487610448270203,48.81462557502119,121.1736596015814,1,1.592171825417832,3,50.01897066431516,3.171514124476316,0.3103284885015546,0.1441044260838778,0.215599760525922,0.1228028926553605
94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,rice,20.835640482532128,3,10.719887142177978,6.627556793662457,379.8472815222341,1.2420726896565475,4,8.63078182173721,80.12783103951577,195.7361604567481,1,14.415279885864967,1,18.08996232939174,3.1795385786845385,0.3061137510905336,0.1685961825927958,0.1529219168684692,0.1458063033805567
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,rice,26.64065576840069,2,11.600185637716663,7.309391590701411,446.3333843786954,8.821774607066256,2,11.260104812933562,89.87019212181914,73.44697633488323,3,48.13877175140959,3,98.37740877207062,1.5309800787118886,0.3415415726563713,0.244512235959752,0.1709606309786425,0.2213734316873143
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,24.368852917432807,3,6.413153902771772,15.395845984336622,377.3990151601595,4.24170639150573,1,11.88543252673378,26.5442576049046,72.79170148098056,1,45.647152908162894,2,63.33575198203821,4.586856058247635,0.3492290058126367,0.2335340248631689,0.2038051225413373,0.2273267375812586
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,20.459145741082907,2,6.43288482293385,18.241282308646483,397.4717144170916,7.686282485746422,3,19.80376704152053,43.0149813897197,88.35389727182411,1,25.44276360101112,3,0.8030068386047917,1.4760491681677208,0.3165943010021355,0.2456241053443182,0.1712322946707265,0.228886270887809
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,15.404600446017936,2,8.554866438403772,3.5335211917178566,387.838957847824,3.312374645893745,2,6.024622352933802,65.42929939559889,162.39579093341422,1,36.39975138070278,2,79.21176901091427,4.956311495518364,0.3486207684987119,0.2314163444161996,0.1549002816852896,0.2331899988853355
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,15.69649075752503,1,5.962473079366161,7.89643882264818,359.04279531520604,6.142806338720238,6,7.755604910749735,44.776936686283655,196.08297109004903,3,7.030797616012851,3,26.72412345028374,1.5690463286676493,0.3023325399209414,0.2444755220740902,0.1368173942667024,0.2333491151251259
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,18.102299560975805,3,10.509164776834664,4.249812524263021,439.9141828695301,3.208669383951548,2,7.552875738109826,80.6212931315953,83.06454514117044,1,40.4247179730376,2,12.45162810967173,1.0297367847931582,0.2731323500682599,0.2392941669106476,0.1217847154772177,0.2293273275541327
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,19.742522826826036,2,7.613462956316367,3.9259507614610967,431.6839322952465,1.1538330760013102,4,13.520434354100503,91.7188882485618,78.3083947509769,2,10.157776806077878,2,30.71243535709793,4.410523115565436,0.282525961070738,0.2352376342952635,0.1217911523325992,0.2264963251412972
60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,rice,23.34511451117176,1,10.168697865057386,13.214305576708757,386.14283047459605,8.705518065479506,3,14.312229905712677,13.358098388005168,117.26676065919187,3,43.476465497635566,1,50.39889549176869,1.3745635802528169,0.2836367148172173,0.234768326815795,0.1208677897297048,0.2272420402885306
85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,rice,12.287843010348428,1,10.748001538790213,18.99798488965525,435.4804751841295,8.55056918740796,1,15.303243639522,31.42938168793934,182.0508467996191,3,14.486082459985944,2,38.68300438556499,1.1359236150294585,0.2903870760005039,0.2386778444802194,0.1238422362080034,0.2330357922076502
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,20.505529046999705,2,8.914357978526676,5.605837157503199,362.0769125293712,5.083744266596145,5,6.886703068768259,14.483418321200748,74.4938501084522,3,35.14762403771211,3,77.8685812971585,1.085565894426281,0.2809395945641511,0.2458529506312597,0.1472844339094041,0.2328123237301221
77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,rice,19.86297771132577,3,9.604758001573376,15.037544987768992,449.099982387764,3.287939301403511,6,8.66938933565357,50.16163399739286,75.75147164765943,2,4.852330346328937,1,83.16991783223679,2.290178559584014,0.151264483269515,0.2640458159641354,0.0445845470793637,0.2121549317645791
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,rice,25.75100657263861,1,5.156131899329995,11.966922691518535,387.84517226922674,8.826688210121965,6,13.41922724517027,21.42755696379507,87.37678676139276,2,24.83894964192667,2,49.834587199231606,1.3075942280167938,0.0853276461400136,0.2239265326313127,0.0159940017616863,0.1838662648923174
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,17.850955791197684,1,11.30220543702904,2.5680289175683435,386.9120485709592,8.137254880064633,2,13.331189009949806,90.87507422306253,145.35805048578587,2,43.27565016907384,1,3.070325598982515,1.4701086515910866,0.0766061996929917,0.2023292184492215,0.0031377798630309,0.1617083262720572
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice,16.92544358289537,2,7.193711117792186,16.94274790637595,380.1545777290284,3.757578539131919,6,11.439381139697474,43.70821709513933,69.95604214677172,3,9.150663021420286,3,94.38189733419962,3.672312161909824,0.1740446321096135,0.2654496340665807,0.068135077164609,0.2222339198088719
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice,13.9285897742515,3,8.401741241240257,17.444358494246778,427.3210034453396,4.9411167167386605,1,5.261348665063728,37.08392899537516,177.95358783440952,3,23.13274544495867,3,15.47295955998289,2.4656465098439284,0.235829727679894,0.2637893871152011,0.1504675487620481,0.2294901950734217
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice,15.054079970805905,1,8.353858331438325,1.0286659731733572,422.1631803965448,5.1542050838430695,2,5.844103097052975,71.06154282829911,68.9503249773089,1,43.62347417344994,3,20.140472654441886,2.686871510725461,0.2580993838228191,0.2516989313557263,0.15807123776121,0.2288266246615137
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice,21.665501586766386,3,11.40035146640266,7.178125230806383,387.1073930580847,2.524754582480912,3,7.674413593102753,66.68658019500681,56.29101402022205,3,33.55821259097579,2,77.15182533785733,2.6293142066193536,0.2562801073529285,0.2502674580721617,0.1533131049714546,0.229847171889672
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,rice,13.741746858175928,2,8.232858165322387,1.2902067748532486,434.99224295037806,7.417834013024693,2,13.420275630579985,66.96630853056874,161.99888092080016,1,21.855042906713884,1,75.12350816058637,3.988721923678906,0.2457429900572205,0.2567671385347508,0.1500086834832507,0.2320798510524112
97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,rice,25.52548813642485,1,5.029698818479235,12.957018280144002,354.2222341724808,2.3172103907133668,2,10.720871310411214,89.94165562227481,123.91618268614567,1,15.840594303675386,3,80.56353348649273,2.7810452572861557,0.2582947244368569,0.2495048951141917,0.1380386846995684,0.2306598483761681
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice,16.9004052999644,1,7.130601915609544,16.285840161183593,387.0109983219061,4.229277117008785,1,9.288550189993176,34.12657847522734,186.48685102113703,3,27.329056036699583,1,29.00824790733667,4.596199347451918,0.2458360165738611,0.2583816460757159,0.1331471351454263,0.2364737576218877
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,rice,14.07087343441151,1,8.20556958897901,18.85925311258835,382.4049654362147,6.409720868261506,4,15.92940372453539,42.57121963780162,54.46000266994612,2,27.513657535428003,3,24.079101189899237,1.169038310400524,0.2821980866268685,0.2617641536726705,0.1529881293695949,0.2360331456603751
