Image_ID,NDVI_Mean,NDVI_Std,NDRE_Mean,NDRE_Std,Health
IMG_0000,0.1885767502785817,0.1819479701930119,0.1267917885907425,0.1730957228839017,Stress
IMG_0001,0.1888089508254469,0.1821024141150078,0.1270084255358297,0.1730777327506774,Stress
IMG_0002,0.1885518323586149,0.1817725222351055,0.1267947792102411,0.1729794406317434,Stress
IMG_0003,0.1882903351410832,0.1811742683725615,0.1268019275129848,0.1728570954582213,Stress
IMG_0004,0.1885150979295672,0.1807468629298206,0.1272944738931642,0.1728083247877492,Stress
IMG_0023,0.2973245641592897,0.1379085582488776,0.209730293735097,0.1219559162239451,Moderate
IMG_0024,0.3103284885015546,0.1441044260838778,0.215599760525922,0.1228028926553605,Moderate
IMG_0025,0.3061137510905336,0.1685961825927958,0.1529219168684692,0.1458063033805567,Moderate
IMG_0026,0.3415415726563713,0.244512235959752,0.1709606309786425,0.2213734316873143,Moderate
IMG_0027,0.3492290058126367,0.2335340248631689,0.2038051225413373,0.2273267375812586,Moderate
IMG_0028,0.3165943010021355,0.2456241053443182,0.1712322946707265,0.228886270887809,Moderate
IMG_0029,0.3486207684987119,0.2314163444161996,0.1549002816852896,0.2331899988853355,Moderate
IMG_0030,0.3023325399209414,0.2444755220740902,0.1368173942667024,0.2333491151251259,Moderate
IMG_0031,0.2731323500682599,0.2392941669106476,0.1217847154772177,0.2293273275541327,Moderate
IMG_0032,0.282525961070738,0.2352376342952635,0.1217911523325992,0.2264963251412972,Moderate
IMG_0033,0.2836367148172173,0.234768326815795,0.1208677897297048,0.2272420402885306,Moderate
IMG_0034,0.2903870760005039,0.2386778444802194,0.1238422362080034,0.2330357922076502,Moderate
IMG_0035,0.2809395945641511,0.2458529506312597,0.1472844339094041,0.2328123237301221,Moderate
IMG_0036,0.151264483269515,0.2640458159641354,0.0445845470793637,0.2121549317645791,Stress
IMG_0037,0.0853276461400136,0.2239265326313127,0.0159940017616863,0.1838662648923174,Stress
IMG_0038,0.0766061996929917,0.2023292184492215,0.0031377798630309,0.1617083262720572,Stress
IMG_0039,0.1740446321096135,0.2654496340665807,0.068135077164609,0.2222339198088719,Stress
IMG_0040,0.235829727679894,0.2637893871152011,0.1504675487620481,0.2294901950734217,Moderate
IMG_0041,0.2580993838228191,0.2516989313557263,0.15807123776121,0.2288266246615137,Moderate
IMG_0042,0.2562801073529285,0.2502674580721617,0.1533131049714546,0.229847171889672,Moderate
IMG_0043,0.2457429900572205,0.2567671385347508,0.1500086834832507,0.2320798510524112,Moderate
IMG_0044,0.2582947244368569,0.2495048951141917,0.1380386846995684,0.2306598483761681,Moderate
IMG_0045,0.2458360165738611,0.2583816460757159,0.1331471351454263,0.2364737576218877,Moderate
IMG_0046,0.2821980866268685,0.2617641536726705,0.1529881293695949,0.2360331456603751,Moderate
IMG_0047,0.3256139668364906,0.2474031538868804,0.1784332869419825,0.2279058932561591,Moderate
IMG_0048,0.2956871030162999,0.2539537247756065,0.184132261258384,0.2250037505716547,Moderate
IMG_0049,0.3245412901369631,0.2497235275215091,0.1919859076206636,0.2282732335092968,Moderate
